Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,919,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4352.557127,306.3333333,197.9932659,441,79,919,306.3333333,197.9932659,441,79,0,0.0,0.0,0,0,0,0,0,0,128,0,4352.557127,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,128,0,0,0,0,0,0,4,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,72622,1,1,42,143,42,42,42.0,0.0,143,143,143.0,0.0,2547.437416,27.53986395,72622.0,0.0,72622,72622,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,13.76993198,13.76993198,42,143,75.66666667,58.31237719,3400.333333,0,0,0,0,0,0,0,0,1,113.5,42.0,143.0,20,0,0,0,0,0,0,1,42,1,143,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,60861,1,1,46,239,46,46,46.0,0.0,239,239,239.0,0.0,4682.801794,32.86176698,60861.0,0.0,60861,60861,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.43088349,16.43088349,46,239,110.3333333,111.428602,12416.33333,0,0,0,0,0,0,0,0,1,165.5,46.0,239.0,20,0,0,0,0,0,0,1,46,1,239,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,48223,2,2,76,146,38,38,38.0,0.0,73,73,73.0,0.0,4603.612384,82.94797089,16074.33333,27795.67179,48170,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,0,0,0,0,64,80,41.47398544,41.47398544,38,73,52.0,19.17028951,367.5,0,0,0,0,0,0,0,0,1,65.0,38.0,73.0,64,0,0,0,0,0,0,2,76,2,146,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
55836,39,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,25641.02564,25641.02564,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,179,333,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,85848300,8,6,371,11595,365,0,46.375,128.7610606,5792,0,1932.5,2537.820147,139.3854043,0.16307836,6603715.385,23500000.0,84800000,1,85800000,12300000.0,32000000.0,84800000,1,1294,258.8,384.2065851,938,47,0,0,0,0,260,200,0.093187634,0.069890726,0,5792,797.7333333,1796.77443,3228398.352,0,0,0,0,1,0,0,0,0,854.7142857,46.375,1932.5,260,0,0,0,0,0,0,8,371,6,11595,274,235,2,20,1991.0,0.0,1991,1991,84800000.0,0.0,84800000,84800000,1
443,236,3,0,65,0,53,6,21.66666667,27.13546265,0,0,0.0,0.0,275423.7288,12711.86441,118.0,98.99494937,188,48,236,118.0,98.99494937,188,48,0,0.0,0.0,0,0,0,0,0,0,60,0,12711.86441,0.0,6,53,17.75,23.5,552.25,0,0,0,0,1,0,0,0,0,23.66666667,21.66666667,0.0,60,0,0,0,0,0,0,3,65,0,0,256,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,1009,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4955.401388,252.25,498.502006,1000,2,1009,252.25,498.502006,1000,2,0,0.0,0.0,0,0,0,0,0,0,160,0,4955.401388,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,296,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
